"Data generated on Thursday, April 23, 2026 at 10:34:02 AM EST"
Area/Partners of Destination,,,,,January 2005 - December 2026
And Commodities Exported,,,,,Cumulative To Date Quantities/Unit Values in Dollars
,,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,
,Partner,,HS Code,Product,Year,UOM,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Period/Period %  Change (Unit Value),Reporter Code,Partner Code,Product Code,
"1","China","3","0404","Whey, Natural Milk","2007-2007","MT","1,370.4","3,434.6","1,473.3","4,813.7","1,413.5","7,102.6","1,463.7","4,742.3","1,615.5","6,132.2","1,632.6","3,092.0","1,770.8","1,587.6","1,367.1","3,694.5","1,143.4","3,835.2","1,301.0","7,763.7","1,295.1","6,763.9","1,166.0","7,461.0","1,382.6","60,423.3","","US","CH","0404",
"1","China","3","0404","Whey, Natural Milk","2008-2008","MT","1,304.6","4,372.4","1,507.6","4,967.2","867.1","6,172.0","1,338.4","5,225.3","1,136.8","3,713.5","972.7","5,316.7","1,115.3","7,163.7","1,136.1","7,090.5","998.6","6,784.3","813.3","6,995.2","890.7","8,283.5","916.5","6,576.9","1,057.6","72,661.0","","US","CH","0404",
"1","China","3","0404","Whey, Natural Milk","2009-2009","MT","745.4","4,089.8","608.5","7,174.4","593.9","11,345.0","773.5","6,765.5","809.8","7,933.7","584.5","8,234.1","875.9","5,654.7","829.1","6,872.0","1,033.9","7,113.0","707.0","9,675.0","732.7","8,797.4","903.1","10,030.3","757.5","93,684.7","","US","CH","0404",
"1","China","3","0404","Whey, Natural Milk","2010-2010","MT","909.1","9,939.1","964.9","10,175.9","958.6","10,520.0","918.3","12,599.5","964.6","12,273.2","890.5","7,465.9","1,265.8","5,132.9","757.4","9,715.8","711.3","12,542.9","728.0","12,725.4","751.3","12,135.9","1,015.7","13,798.3","884.9","129,024.9","","US","CH","0404",
"1","China","3","0404","Whey, Natural Milk","2011-2011","MT","956.1","10,466.9","802.7","8,110.3","1,084.1","11,013.3","903.7","10,027.7","1,058.0","12,841.3","1,059.5","11,511.6","1,110.2","12,769.3","1,125.2","15,921.5","1,315.4","11,308.1","1,401.8","14,378.6","1,377.6","19,916.9","1,271.1","13,948.3","1,153.6","152,213.6","","US","CH","0404",
"1","China","3","0404","Whey, Natural Milk","2012-2012","MT","1,328.4","8,671.8","1,290.8","9,069.1","1,200.8","13,197.0","1,275.8","11,454.9","1,107.6","14,609.6","995.2","13,408.2","923.1","14,143.8","1,044.8","14,036.5","1,058.0","17,154.8","1,101.9","14,460.5","1,208.4","12,020.8","1,277.8","12,330.6","1,134.2","154,557.5","","US","CH","0404",
"1","China","3","0404","Whey, Natural Milk","2013-2013","MT","1,291.2","13,446.1","1,103.0","10,043.1","1,065.3","11,958.5","1,160.8","15,654.1","1,122.4","17,569.6","1,180.1","20,104.4","1,374.2","18,899.0","1,365.5","19,481.9","1,377.6","13,760.3","1,474.3","14,688.0","1,611.8","13,429.4","1,680.9","14,045.0","1,317.6","183,079.4","","US","CH","0404",
"1","China","3","0404","Whey, Natural Milk","2014-2014","MT","1,778.3","11,312.6","1,225.1","14,085.0","1,369.0","19,138.3","1,381.1","17,874.4","1,517.8","16,717.1","1,430.2","16,446.3","1,491.3","17,711.7","1,325.5","16,031.7","1,570.3","10,889.5","1,403.4","15,611.3","1,162.4","13,934.3","1,207.6","13,508.6","1,398.8","183,260.8","","US","CH","0404",
"1","China","3","0404","Whey, Natural Milk","2015-2015","MT","1,250.0","9,019.5","1,015.3","8,440.7","914.8","14,304.1","1,037.4","17,635.1","922.4","19,378.2","1,005.5","15,279.5","885.4","15,370.0","1,004.8","10,218.3","868.3","13,198.9","1,008.2","12,532.9","1,254.6","9,522.7","1,265.1","9,549.8","1,013.0","154,449.7","","US","CH","0404",
"1","China","3","0404","Whey, Natural Milk","2016-2016","MT","1,012.2","10,065.6","1,012.1","10,766.6","893.6","10,853.6","775.8","12,738.9","769.5","17,926.7","674.6","21,721.7","728.5","19,438.3","747.2","20,906.1","822.9","16,952.9","772.8","20,504.4","835.4","23,186.3","937.7","22,586.1","815.1","207,647.3","","US","CH","0404",
"1","China","3","0404","Whey, Natural Milk","2017-2017","MT","947.7","18,982.3","1,100.9","20,364.0","1,098.0","20,397.9","1,100.0","19,779.0","1,070.1","21,913.3","1,169.5","19,298.5","1,121.0","18,953.6","986.8","19,825.9","946.4","17,326.7","840.4","20,264.2","911.5","22,196.3","867.5","24,230.0","1,010.4","243,531.6","","US","CH","0404",
"1","China","3","0404","Whey, Natural Milk","2018-2018","MT","885.6","20,258.4","850.1","19,886.0","984.4","22,290.5","914.6","23,509.3","933.0","20,697.5","918.7","17,745.1","1,096.8","13,716.2","843.8","14,109.3","897.4","10,434.9","1,143.7","9,501.6","826.5","13,252.1","1,030.6","11,629.0","934.0","197,029.9","","US","CH","0404",
"1","China","3","0404","Whey, Natural Milk","2019-2019","MT","1,040.3","9,114.4","1,040.8","8,000.0","1,149.0","9,996.2","1,549.8","6,289.8","1,445.8","6,702.5","1,136.8","10,213.8","1,156.8","8,205.2","1,598.4","4,845.4","1,309.3","8,179.7","986.3","6,007.0","1,164.2","9,911.0","956.2","10,489.8","1,182.0","97,954.6","","US","CH","0404",
"1","China","3","0404","Whey, Natural Milk","2020-2020","MT","1,076.7","11,767.1","1,085.3","9,282.0","902.1","12,209.0","1,066.9","14,488.0","1,015.7","17,320.2","1,063.7","18,057.9","1,070.6","16,430.2","924.1","21,580.2","978.5","18,721.3","901.3","25,532.9","928.1","19,989.3","900.7","25,228.5","978.8","210,606.4","","US","CH","0404",
"1","China","3","0404","Whey, Natural Milk","2021-2021","MT","893.1","22,086.3","904.6","24,833.7","967.3","25,528.8","990.2","24,955.0","1,111.1","24,406.1","1,060.5","25,166.8","1,188.0","22,619.8","1,119.9","23,338.7","1,121.1","19,967.6","1,106.7","18,242.3","1,100.8","16,067.1","1,037.5","12,294.2","1,045.9","259,506.5","","US","CH","0404",
"1","China","3","0404","Whey, Natural Milk","2022-2022","MT","956.8","14,246.6","928.0","19,048.2","881.6","25,322.5","976.6","22,492.2","1,070.5","25,753.8","1,034.2","26,974.6","1,067.2","26,252.1","1,031.3","32,375.8","1,011.9","29,314.0","1,051.0","23,634.9","1,258.0","28,659.7","915.4","25,445.2","1,022.7","299,519.6","","US","CH","0404",
"1","China","3","0404","Whey, Natural Milk","2023-2023","MT","1,135.2","18,828.7","999.7","18,745.7","860.5","24,993.7","1,047.5","17,672.9","1,047.8","16,946.8","984.6","16,071.3","1,045.6","14,268.5","836.7","19,244.9","1,004.0","17,857.9","894.6","17,666.4","794.7","22,176.1","871.7","16,088.9","952.6","220,561.6","","US","CH","0404",
"1","China","3","0404","Whey, Natural Milk","2024-2024","MT","1,080.1","14,793.5","1,064.3","16,669.8","1,056.2","15,896.2","969.8","18,611.4","880.0","20,792.9","992.8","18,666.7","847.3","19,128.4","1,305.0","17,183.7","1,010.0","20,276.5","1,142.1","17,686.2","1,072.9","16,692.8","960.6","20,015.8","1,025.1","216,413.9","","US","CH","0404",
"1","China","3","0404","Whey, Natural Milk","2025-2025","MT","1,108.5","22,555.8","1,020.1","20,749.3","1,065.2","21,861.6","1,080.6","11,386.1","845.9","6,265.0","854.1","24,667.5","895.4","18,275.6","1,060.6","17,269.0","855.9","19,804.3","1,125.7","18,136.2","914.2","21,796.5","910.9","21,645.1","979.5","224,412.1","","US","CH","0404",
"1","China","3","0404","Whey, Natural Milk","2026-2026","MT","771.0","19,911.3","","","","","","","","","","","","","","","","","","","","","","","771.0","19,911.3","","US","CH","0404",
"1","China","4","0401","Milk Not Concentrate","2006-2006","LITER","0.7","36,999.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","0.7","36,999.0","","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2007-2007","LITER","","0.0","","0.0","","0.0","0.7","15,534.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","0.7","15,534.0","","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2008-2008","LITER","","0.0","","0.0","","0.0","","0.0","0.8","17,380.0","","0.0","","0.0","","0.0","0.8","25,097.0","0.8","25,097.0","","0.0","1.3","2,385.0","0.8","69,959.0","","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2009-2009","LITER","","0.0","","0.0","","0.0","","0.0","1.0","5,969.0","","0.0","","0.0","","0.0","","0.0","0.8","71,597.0","","0.0","0.8","71,855.0","0.8","149,421.0","","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2010-2010","LITER","0.8","73,029.0","0.8","81,238.0","","0.0","","0.0","","0.0","1.0","5,116.0","0.8","4,674.0","0.8","4,421.0","","0.0","0.7","6,096.0","1.0","8,176.0","0.9","24,435.0","0.8","207,185.0","","US","CH","0401",
