date,source_region,cmd_code,cmd_desc,import_value_usd,net_weight_kg
7/1/11,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,2410872,2187139
7/1/11,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,9271575,2693095
7/1/11,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",349361,120052
7/1/11,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",22162300,9858045
7/1/11,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,654169,90981
7/1/11,EU-27,0406,Cheese and curd,1515485,161424
7/1/11,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,3007424,1945384
7/1/11,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,88758523,21975834
7/1/11,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",189346,55386
7/1/11,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",746925,144116
7/1/11,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,10928745,1928875
7/1/11,New Zealand,0406,Cheese and curd,3468774,779570
8/1/11,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,900867,542011
8/1/11,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,9762583,2557927
8/1/11,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",355512,128979
8/1/11,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",28620723,13244829
8/1/11,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,1369253,199151
8/1/11,EU-27,0406,Cheese and curd,1792774,215049
8/1/11,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1139265,620371
8/1/11,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,64140078,15416451
8/1/11,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",197730,21908
8/1/11,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",379710,46536
8/1/11,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,12793876,2232875
8/1/11,New Zealand,0406,Cheese and curd,3084040,717225
9/1/11,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,981490,744227
9/1/11,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,12947652,3564693
